|      | 日期         | 城市   |   AQI |   PM2_5 |   PM10 |   SO2 |   NO2 |   CO |    O3 | 质量等级   |   月份 | 月份名称   |
|  190 | 2025-07-10 | 天津   |    51 |    33.2 |   49.1 |  10.2 |  29   | 0.81 | 101.3 | 良      |    7 | 7月     |
|  191 | 2025-07-11 | 天津   |   108 |    32.2 |  106.6 |   3   |  36.7 | 0.69 | 168.3 | 轻度污染   |    7 | 7月     |
|  192 | 2025-07-12 | 天津   |    70 |    41   |   89.4 |   8.8 |  42.4 | 0.99 |  97.2 | 良      |    7 | 7月     |
|  193 | 2025-07-13 | 天津   |    61 |    42.8 |   63.2 |   6.9 |  31.3 | 0.55 | 112.9 | 良      |    7 | 7月     |
|  194 | 2025-07-14 | 天津   |    76 |    30.8 |   54   |  13.5 |  26.2 | 0.47 | 130.7 | 良      |    7 | 7月     |
|  195 | 2025-07-15 | 天津   |    59 |    35.9 |   68.1 |  11.8 |  51   | 1.17 | 108.2 | 良      |    7 | 7月     |
|  196 | 2025-07-16 | 天津   |    62 |    34.6 |   36.1 |   8.6 |  26.2 | 0.69 | 114.7 | 良      |    7 | 7月     |
|  197 | 2025-07-17 | 天津   |    90 |    39.9 |   72.4 |   9   |  33.6 | 1    | 148.4 | 良      |    7 | 7月     |
|  198 | 2025-07-18 | 天津   |    76 |    46.9 |   94.9 |   8.9 |  37.9 | 0.64 | 130.8 | 良      |    7 | 7月     |
|  199 | 2025-07-19 | 天津   |    75 |    55.4 |   73.2 |   8.9 |  34.6 | 1    | 105.3 | 良      |    7 | 7月     |
|  200 | 2025-07-20 | 天津   |    80 |    57.3 |  110.9 |   5.9 |  36.2 | 1.2  |  95.6 | 良      |    7 | 7月     |
|  201 | 2025-07-21 | 天津   |    83 |    52.6 |  116.6 |   5.3 |  41   | 0.76 | 108   | 良      |    7 | 7月     |
|  202 | 2025-07-22 | 天津   |    80 |    34.5 |  109.2 |  10.5 |  20.4 | 0.49 |  99.6 | 良      |    7 | 7月     |
|  203 | 2025-07-23 | 天津   |    77 |    45.1 |   88.6 |  13.7 |  28.5 | 1.22 | 131.9 | 良      |    7 | 7月     |
|  204 | 2025-07-24 | 天津   |    99 |    73.8 |   37.8 |   8.9 |  37.9 | 1.07 | 158.7 | 良      |    7 | 7月     |
|  205 | 2025-07-25 | 天津   |    78 |    57.6 |   70.6 |  11.5 |  34.9 | 0.79 |  76.7 | 良      |    7 | 7月     |
|  206 | 2025-07-26 | 天津   |    66 |    40.3 |   82.1 |  12.9 |  38.9 | 0.85 |  77.2 | 良      |    7 | 7月     |
|  207 | 2025-07-27 | 天津   |    87 |    64.8 |   67.4 |   7.7 |  39.8 | 0.67 |  99.4 | 良      |    7 | 7月     |
|  208 | 2025-07-28 | 天津   |    66 |    41.3 |   82.8 |  10.7 |  23.5 | 1.18 |  94   | 良      |    7 | 7月     |
|  209 | 2025-07-29 | 天津   |    84 |    38.1 |  118   |   8.9 |  47.5 | 0.8  | 132.9 | 良      |    7 | 7月     |
|  210 | 2025-07-30 | 天津   |    85 |    63.1 |   53.2 |  15.7 |  35.3 | 0.62 | 111.7 | 良      |    7 | 7月     |
|  211 | 2025-07-31 | 天津   |    86 |    30.8 |  122.7 |  15.7 |  32.9 | 0.95 | 105   | 良      |    7 | 7月     |
|  212 | 2025-08-01 | 天津   |    77 |    23.7 |  104.4 |   8.1 |  40.6 | 0.74 | 104.3 | 良      |    8 | 8月     |
|  213 | 2025-08-02 | 天津   |    79 |    58.1 |   92.4 |  12.3 |  40.1 | 0.71 | 124.2 | 良      |    8 | 8月     |
|  214 | 2025-08-03 | 天津   |    65 |    47.3 |   73.1 |  14.4 |  47.9 | 0.84 |  72.6 | 良      |    8 | 8月     |
|  215 | 2025-08-04 | 天津   |    67 |    48.7 |   70.2 |  13.8 |  41.7 | 0.95 |  98.9 | 良      |    8 | 8月     |
|  216 | 2025-08-05 | 天津   |    60 |    43   |   55.4 |  11.6 |  48.1 | 0.66 |  86   | 良      |    8 | 8月     |
|  217 | 2025-08-06 | 天津   |    86 |    44.6 |  122.6 |  15.3 |  33.6 | 1.21 | 121.7 | 良      |    8 | 8月     |
|  218 | 2025-08-07 | 天津   |    85 |    42.1 |  119.3 |   8.7 |  41.3 | 1.08 |  55.6 | 良      |    8 | 8月     |
|  219 | 2025-08-08 | 天津   |    57 |    40.3 |   60.7 |  10.6 |  32.7 | 0.87 |  95.5 | 良      |    8 | 8月     |
|  220 | 2025-08-09 | 天津   |    64 |    43.4 |   78   |   8.9 |  41.4 | 0.77 |  99.7 | 良      |    8 | 8月     |
|  221 | 2025-08-10 | 天津   |    74 |    43.1 |   98   |  14   |  40.1 | 0.93 | 113.9 | 良      |    8 | 8月     |
|  222 | 2025-08-11 | 天津   |    67 |    38.3 |   83.7 |  10   |  40   | 1.14 | 107   | 良      |    8 | 8月     |
|  223 | 2025-08-12 | 天津   |    69 |    41.9 |   51.6 |  11.2 |  40.2 | 1.11 | 122.7 | 良      |    8 | 8月     |
|  224 | 2025-08-13 | 天津   |    66 |    18.5 |   77.1 |  13.7 |  46.6 | 1.18 | 119.2 | 良      |    8 | 8月     |
|  225 | 2025-08-14 | 天津   |    90 |    56.9 |  129.5 |  14   |  30.4 | 0.87 | 101.8 | 良      |    8 | 8月     |
|  226 | 2025-08-15 | 天津   |    73 |    53.5 |   79   |   9.2 |  35.5 | 0.39 | 114.5 | 良      |    8 | 8月     |
|  227 | 2025-08-16 | 天津   |    69 |    48   |   87.8 |  15.2 |  41.7 | 1.22 |  70.7 | 良      |    8 | 8月     |
|  228 | 2025-08-17 | 天津   |    71 |    52   |   68.4 |  13.4 |  33.9 | 0.95 |  83.6 | 良      |    8 | 8月     |
|  229 | 2025-08-18 | 天津   |    77 |    52.6 |  103.3 |   8.9 |  42.7 | 1.12 | 100.9 | 良      |    8 | 8月     |
|  230 | 2025-08-19 | 天津   |    72 |    40.8 |   94.1 |   8.2 |  42.2 | 1.32 | 102.3 | 良      |    8 | 8月     |
|  231 | 2025-08-20 | 天津   |    64 |    43.2 |   77.2 |  12.2 |  32.9 | 1.48 | 114.9 | 良      |    8 | 8月     |
|  232 | 2025-08-21 | 天津   |    76 |    56.1 |   66.2 |  14.8 |  32.7 | 0.86 | 128.6 | 良      |    8 | 8月     |
|  233 | 2025-08-22 | 天津   |    85 |    52.4 |  120.7 |  15   |  24.7 | 1.02 | 126.7 | 良      |    8 | 8月     |
|  234 | 2025-08-23 | 天津   |    99 |    74.5 |   60.7 |  13.5 |  34.7 | 1.27 | 107.9 | 良      |    8 | 8月     |
|  235 | 2025-08-24 | 天津   |    93 |    69.6 |  103.2 |  12.6 |  43.5 | 0.83 |  72.2 | 良      |    8 | 8月     |
|  236 | 2025-08-25 | 天津   |    83 |    61.5 |   50.2 |  14.1 |  44.6 | 0.89 | 105.1 | 良      |    8 | 8月     |
|  237 | 2025-08-26 | 天津   |    79 |    41.3 |  107.7 |  10   |  45.1 | 0.89 | 115.1 | 良      |    8 | 8月     |
|  238 | 2025-08-27 | 天津   |    82 |    43.8 |  113.2 |  17.7 |  38.4 | 1.01 |  73.3 | 良      |    8 | 8月     |
|  239 | 2025-08-28 | 天津   |    83 |    38.7 |  115.9 |  17.7 |  43.9 | 0.97 | 109.3 | 良      |    8 | 8月     |
|  240 | 2025-08-29 | 天津   |    74 |    54.2 |   91   |  14   |  46.9 | 0.9  |  52.5 | 良      |    8 | 8月     |
|  241 | 2025-08-30 | 天津   |    88 |    18   |  126.2 |  13.4 |  35.4 | 0.83 |  90.7 | 良      |    8 | 8月     |
|  242 | 2025-08-31 | 天津   |    95 |    45.6 |  140.9 |  11.6 |  45.3 | 1.19 |  61.2 | 良      |    8 | 8月     |
|  243 | 2025-09-01 | 天津   |    69 |    47.5 |   88.5 |  14.5 |  49.2 | 1.3  |  99.8 | 良      |    9 | 9月     |
|  244 | 2025-09-02 | 天津   |    68 |    33   |   86.1 |  10.8 |  41.3 | 1.33 |  98   | 良      |    9 | 9月     |
|  245 | 2025-09-03 | 天津   |    82 |    61   |   98.3 |   6.3 |  52.3 | 0.94 | 119.5 | 良      |    9 | 9月     |
|  246 | 2025-09-04 | 天津   |    68 |    37.9 |   86   |   4.9 |  41.8 | 1.21 | 107.2 | 良      |    9 | 9月     |
|  247 | 2025-09-05 | 天津   |    75 |    54.9 |   83.3 |  10.7 |  39.1 | 1.09 |  78.3 | 良      |    9 | 9月     |
|  248 | 2025-09-06 | 天津   |   113 |    85.2 |   85.2 |  13.6 |  49.2 | 0.93 |  61.4 | 轻度污染   |    9 | 9月     |
|  249 | 2025-09-07 | 天津   |    90 |    32.5 |  130.5 |  14.1 |  59.7 | 1.19 |  90.7 | 良      |    9 | 9月     |
|  250 | 2025-09-08 | 天津   |    81 |    50.2 |  111.8 |  11.7 |  46.2 | 0.93 |  79   | 良      |    9 | 9月     |
|  251 | 2025-09-09 | 天津   |    68 |    47.2 |   86.9 |  13.7 |  50.1 | 0.98 | 107.7 | 良      |    9 | 9月     |
|  252 | 2025-09-10 | 天津   |    62 |    44.9 |   47.6 |  12.4 |  42.2 | 0.78 |  40.4 | 良      |    9 | 9月     |
|  253 | 2025-09-11 | 天津   |    83 |    61.4 |   66   |  10.3 |  37.2 | 0.96 | 118.5 | 良      |    9 | 9月     |
|  254 | 2025-09-12 | 天津   |    88 |    65.6 |  107.1 |  13.2 |  47.2 | 1.11 |  88.3 | 良      |    9 | 9月     |
|  255 | 2025-09-13 | 天津   |    83 |    61.7 |   54.8 |  15.8 |  48.4 | 1.38 |  63.8 | 良      |    9 | 9月     |
|  256 | 2025-09-14 | 天津   |    77 |    43.9 |  103.2 |  10.6 |  43.7 | 0.99 |  91.3 | 良      |    9 | 9月     |
|  257 | 2025-09-15 | 天津   |   109 |    81.8 |   76.2 |  10.6 |  50.8 | 0.86 | 101.1 | 轻度污染   |    9 | 9月     |
|  258 | 2025-09-16 | 天津   |    75 |    31.5 |   99.5 |  10.3 |  41.9 | 1.37 |  79.5 | 良      |    9 | 9月     |
|  259 | 2025-09-17 | 天津   |    75 |    40.4 |   99.1 |   7.7 |  40.2 | 0.97 |  45.4 | 良      |    9 | 9月     |
|  260 | 2025-09-18 | 天津   |    75 |    54.9 |  100.4 |  12.1 |  54.1 | 0.72 |  71.6 | 良      |    9 | 9月     |
|  261 | 2025-09-19 | 天津   |    74 |    54   |   90.2 |  15.7 |  54.2 | 1.1  |  95.4 | 良      |    9 | 9月     |
|  262 | 2025-09-20 | 天津   |    80 |    58.9 |   89.7 |  14.1 |  42.4 | 1.01 |  85.3 | 良      |    9 | 9月     |
|  263 | 2025-09-21 | 天津   |    96 |    72.1 |   84   |  13.1 |  59   | 1.54 |  73.3 | 良      |    9 | 9月     |
|  264 | 2025-09-22 | 天津   |    79 |    51.7 |  108.2 |  14.1 |  45   | 1.17 |  99.4 | 良      |    9 | 9月     |
|  265 | 2025-09-23 | 天津   |    82 |    54.6 |  114.7 |  12.2 |  47.7 | 1.05 |  89   | 良      |    9 | 9月     |
|  266 | 2025-09-24 | 天津   |    64 |    46.2 |   74.4 |   7.9 |  46.6 | 0.9  |  90.1 | 良      |    9 | 9月     |
|  267 | 2025-09-25 | 天津   |    82 |    60.4 |   97.8 |  16.1 |  50.9 | 1.15 |  67.8 | 良      |    9 | 9月     |
|  268 | 2025-09-26 | 天津   |    76 |    49.6 |  102.9 |  17   |  49.2 | 1.38 |  65.9 | 良      |    9 | 9月     |
|  269 | 2025-09-27 | 天津   |    76 |    49.7 |  102.7 |  11.6 |  49.2 | 1.15 |  44.2 | 良      |    9 | 9月     |
|  270 | 2025-09-28 | 天津   |    81 |    60.1 |  102.5 |  13.4 |  40.3 | 0.92 |  70   | 良      |    9 | 9月     |
|  271 | 2025-09-29 | 天津   |    89 |    66   |   91.2 |  13.1 |  35.7 | 1.2  |  91.3 | 良      |    9 | 9月     |
|  272 | 2025-09-30 | 天津   |    77 |    27.1 |  104.9 |  14.9 |  55.6 | 1.08 |  70.6 | 良      |    9 | 9月     |
|  273 | 2025-10-01 | 天津   |    81 |    58   |  111.8 |  18.9 |  43.8 | 1.18 |  52.1 | 良      |   10 | 10月    |
|  274 | 2025-10-02 | 天津   |    76 |    50.5 |  102.3 |  17.4 |  47.3 | 1.02 |  64   | 良      |   10 | 10月    |
|  275 | 2025-10-03 | 天津   |    88 |    65.1 |  109.7 |  12.8 |  50   | 1.02 |  50.6 | 良      |   10 | 10月    |
|  276 | 2025-10-04 | 天津   |    85 |    50.8 |  119.4 |  15.5 |  59.2 | 1.01 |  52.2 | 良      |   10 | 10月    |
|  277 | 2025-10-05 | 天津   |    93 |    69.4 |   62.7 |  17.7 |  48.9 | 1.28 |  19.2 | 良      |   10 | 10月    |
|  278 | 2025-10-06 | 天津   |    84 |    45.7 |  118.6 |  15.2 |  45.1 | 1.02 |  37.7 | 良      |   10 | 10月    |
|  279 | 2025-10-07 | 天津   |    78 |    27.1 |  106.6 |  13.9 |  44.2 | 1.01 |  74.5 | 良      |   10 | 10月    |
|  280 | 2025-10-08 | 天津   |    89 |    66.5 |   77.6 |  15.3 |  47.6 | 0.91 |  45.2 | 良      |   10 | 10月    |
|  281 | 2025-10-09 | 天津   |    83 |    43.8 |  115.9 |  11.9 |  41.6 | 1.19 |  77.4 | 良      |   10 | 10月    |
|  282 | 2025-10-10 | 天津   |    71 |    35   |   91.9 |  12.3 |  48.1 | 1.16 |  30.2 | 良      |   10 | 10月    |
|  283 | 2025-10-11 | 天津   |    74 |    54.2 |   94.7 |  10.8 |  47.6 | 1.01 |  47.3 | 良      |   10 | 10月    |
|  284 | 2025-10-12 | 天津   |    70 |    51.1 |   89.8 |  14.9 |  59.5 | 0.96 |  36.2 | 良      |   10 | 10月    |
|  285 | 2025-10-13 | 天津   |    86 |    63.9 |  106   |  13.6 |  47.4 | 1.47 |  53.7 | 良      |   10 | 10月    |
|  286 | 2025-10-14 | 天津   |    87 |    64.7 |   84.3 |  11.5 |  34.5 | 0.72 |  59.1 | 良      |   10 | 10月    |
|  287 | 2025-10-15 | 天津   |    84 |    55.1 |  118   |  13.5 |  66.7 | 1.2  |  53.8 | 良      |   10 | 10月    |
|  288 | 2025-10-16 | 天津   |    74 |    43.4 |   97.2 |  15.4 |  54.7 | 1.36 |  61.8 | 良      |   10 | 10月    |
|  289 | 2025-10-17 | 天津   |    78 |    57.4 |   92.7 |  19.7 |  62.6 | 0.42 |  42.8 | 良      |   10 | 10月    |
|  290 | 2025-10-18 | 天津   |    83 |    56   |  115   |  17   |  39.9 | 1.26 |  39.6 | 良      |   10 | 10月    |
|  291 | 2025-10-19 | 天津   |    82 |    60.8 |   93.6 |   7.1 |  46.4 | 1.06 |  15   | 良      |   10 | 10月    |
|  292 | 2025-10-20 | 天津   |    84 |    43.5 |  118.9 |  14.7 |  52.7 | 1.15 |  54.6 | 良      |   10 | 10月    |
|  293 | 2025-10-21 | 天津   |    85 |    49.2 |  119.5 |  18.3 |  51.7 | 1.03 |  46.2 | 良      |   10 | 10月    |
|  294 | 2025-10-22 | 天津   |    81 |    60.1 |   73.2 |  10   |  50.1 | 1.31 |  42   | 良      |   10 | 10月    |
|  295 | 2025-10-23 | 天津   |    92 |    68.9 |  122   |  15.6 |  32.5 | 1.17 |  39.8 | 良      |   10 | 10月    |
|  296 | 2025-10-24 | 天津   |    88 |    65.5 |   70.6 |  13.2 |  35.9 | 1.12 |  42.7 | 良      |   10 | 10月    |
|  297 | 2025-10-25 | 天津   |    87 |    54.9 |  123.2 |  17.4 |  58.5 | 0.92 |  39.2 | 良      |   10 | 10月    |
|  298 | 2025-10-26 | 天津   |    95 |    48   |  140.3 |  15.2 |  59.7 | 1.47 |  34   | 良      |   10 | 10月    |
|  299 | 2025-10-27 | 天津   |    84 |    58.7 |  117.2 |  11.3 |  47   | 1.1  |  48   | 良      |   10 | 10月    |
|  300 | 2025-10-28 | 天津   |    57 |    40.7 |   56.5 |  13.3 |  57.5 | 1.55 |  52.5 | 良      |   10 | 10月    |
|  301 | 2025-10-29 | 天津   |    85 |    43.9 |  120.8 |  13.5 |  40.5 | 1.48 |  30   | 良      |   10 | 10月    |
|  302 | 2025-10-30 | 天津   |    97 |    71.8 |  144.4 |  13.5 |  42.1 | 0.74 |  36.8 | 良      |   10 | 10月    |
|  303 | 2025-10-31 | 天津   |    79 |    58.5 |   93.3 |  17.2 |  39.9 | 0.96 |  40.5 | 良      |   10 | 10月    |
|  304 | 2025-11-01 | 天津   |    95 |    71   |  121.1 |  17.3 |  41.6 | 0.88 |  44.4 | 良      |   11 | 11月    |
|  305 | 2025-11-02 | 天津   |   117 |    88.2 |   97.9 |  22.8 |  52.5 | 1.08 |  42.2 | 轻度污染   |   11 | 11月    |
|  306 | 2025-11-03 | 天津   |   116 |    87.9 |  127.9 |  18.9 |  41.4 | 1.13 |  56.6 | 轻度污染   |   11 | 11月    |
|  307 | 2025-11-04 | 天津   |    98 |    64.7 |  146.9 |  20.5 |  63   | 1.13 |  15.2 | 良      |   11 | 11月    |
|  308 | 2025-11-05 | 天津   |    95 |    70.7 |  135.4 |  20   |  50.5 | 1.3  |  18.6 | 良      |   11 | 11月    |
|  309 | 2025-11-06 | 天津   |   117 |    62.6 |  184.1 |  19.7 |  54.8 | 1.38 |  48.8 | 轻度污染   |   11 | 11月    |
|  310 | 2025-11-07 | 天津   |   213 |   163.1 |  157.5 |  19.7 |  50.6 | 1.28 |  34.7 | 重度污染   |   11 | 11月    |
|  311 | 2025-11-08 | 天津   |   208 |   158.2 |  124.4 |  24.1 |  55.6 | 0.97 |  61.7 | 重度污染   |   11 | 11月    |
|  312 | 2025-11-09 | 天津   |   109 |    82.6 |  124.4 |  22.2 |  40.9 | 0.92 |  67.1 | 轻度污染   |   11 | 11月    |
|  313 | 2025-11-10 | 天津   |   118 |    89.7 |   72.5 |  18.5 |  57   | 1.08 |  50.5 | 轻度污染   |   11 | 11月    |
|  314 | 2025-11-11 | 天津   |    80 |    56.4 |  110   |  24.3 |  47.8 | 1.16 |  27.2 | 良      |   11 | 11月    |
|  315 | 2025-11-12 | 天津   |   103 |    77.5 |  153   |  20.4 |  55.2 | 1.04 |  65.8 | 轻度污染   |   11 | 11月    |
|  316 | 2025-11-13 | 天津   |    88 |    57.8 |  126.9 |  20.6 |  36.5 | 0.8  |  50.6 | 良      |   11 | 11月    |
|  317 | 2025-11-14 | 天津   |    87 |    61.3 |  123.9 |  17   |  47.8 | 1.21 |  20.6 | 良      |   11 | 11月    |
|  318 | 2025-11-15 | 天津   |   103 |    69.2 |  156.5 |  18   |  47.4 | 0.99 |  22.5 | 轻度污染   |   11 | 11月    |
|  319 | 2025-11-16 | 天津   |   104 |    78.2 |  114.5 |  17.4 |  42   | 0.98 |  75.2 | 轻度污染   |   11 | 11月    |
|  320 | 2025-11-17 | 天津   |    98 |    61.2 |  145   |  19.7 |  48.4 | 1.05 |  72.6 | 良      |   11 | 11月    |
|  321 | 2025-11-18 | 天津   |   110 |    83.2 |  163.8 |  21.3 |  56.9 | 1.01 |  15   | 轻度污染   |   11 | 11月    |
|  322 | 2025-11-19 | 天津   |   100 |    75.2 |  127.1 |  20.4 |  41.1 | 0.98 |  24.5 | 良      |   11 | 11月    |
|  323 | 2025-11-20 | 天津   |   131 |    99.9 |   94.9 |  24.1 |  52.6 | 0.8  |  69.8 | 轻度污染   |   11 | 11月    |
|  324 | 2025-11-21 | 天津   |    99 |    74.1 |  109.5 |  16.6 |  37.8 | 1.03 |  49.3 | 良      |   11 | 11月    |
|  325 | 2025-11-22 | 天津   |    99 |    74.3 |   91   |  19.6 |  60.4 | 1.19 |  62.6 | 良      |   11 | 11月    |
|  326 | 2025-11-23 | 天津   |   122 |    92.7 |  116.8 |  15.3 |  51   | 1.1  |  49.2 | 轻度污染   |   11 | 11月    |
|  327 | 2025-11-24 | 天津   |   105 |    79   |  126.4 |  16.4 |  57.4 | 1.23 |  62.5 | 轻度污染   |   11 | 11月    |
|  328 | 2025-11-25 | 天津   |    96 |    72   |   96.1 |  22.9 |  49.9 | 0.9  |  51.2 | 良      |   11 | 11月    |
|  329 | 2025-11-26 | 天津   |   105 |    72.5 |  159.1 |  17.6 |  47.8 | 0.78 |  43.6 | 轻度污染   |   11 | 11月    |
|  330 | 2025-11-27 | 天津   |    96 |    71.4 |  123.5 |  16.6 |  50.5 | 0.99 |  70.9 | 良      |   11 | 11月    |
|  331 | 2025-11-28 | 天津   |    84 |    59.7 |  118.9 |  12.6 |  43.9 | 0.91 |  55.9 | 良      |   11 | 11月    |
|  332 | 2025-11-29 | 天津   |    91 |    47.8 |  132.9 |  16.5 |  33.4 | 0.93 |  64.4 | 良      |   11 | 11月    |
|  333 | 2025-11-30 | 天津   |   116 |    87.7 |  100.7 |  18.2 |  47.7 | 1.07 |  55.9 | 轻度污染   |   11 | 11月    |
|  334 | 2025-12-01 | 天津   |   131 |   100.2 |  163.3 |  14.7 |  39.1 | 0.92 |  44.8 | 轻度污染   |   12 | 12月    |
|  335 | 2025-12-02 | 天津   |    88 |    65.1 |  102.5 |  18   |  36.5 | 0.77 |  82.9 | 良      |   12 | 12月    |
|  336 | 2025-12-03 | 天津   |    99 |    72.9 |  147.8 |  22.5 |  48.5 | 0.91 |  60.8 | 良      |   12 | 12月    |
|  337 | 2025-12-04 | 天津   |   108 |    81.3 |   95.2 |  16.5 |  42   | 1.08 |  48.5 | 轻度污染   |   12 | 12月    |
|  338 | 2025-12-05 | 天津   |   130 |    99.4 |  117.4 |  15.8 |  51   | 1.15 |  78.3 | 轻度污染   |   12 | 12月    |
|  339 | 2025-12-06 | 天津   |    94 |    70.4 |  122.5 |  15.2 |  38.1 | 1.14 |  32   | 良      |   12 | 12月    |
|  340 | 2025-12-07 | 天津   |    87 |    61.8 |  123.6 |  15.1 |  40.2 | 1.09 |  96.5 | 良      |   12 | 12月    |
|  341 | 2025-12-08 | 天津   |   145 |   110.7 |  143.9 |  20   |  51.4 | 0.97 |  53.5 | 轻度污染   |   12 | 12月    |
|  342 | 2025-12-09 | 天津   |   103 |    77.5 |   97.3 |  18.5 |  45.1 | 1.08 |  34.4 | 轻度污染   |   12 | 12月    |
|  343 | 2025-12-10 | 天津   |    82 |    60.7 |  103.6 |  21.2 |  32.6 | 0.99 |  92   | 良      |   12 | 12月    |
|  344 | 2025-12-11 | 天津   |   103 |    77.4 |  125.3 |  24.3 |  44.6 | 1.01 |  49.8 | 轻度污染   |   12 | 12月    |
|  345 | 2025-12-12 | 天津   |    81 |    41.9 |  111.6 |  12.7 |  53   | 0.8  |  63   | 良      |   12 | 12月    |
|  346 | 2025-12-13 | 天津   |   159 |   121.2 |  172.8 |  19.3 |  39.1 | 0.99 |  72.1 | 中度污染   |   12 | 12月    |
|  347 | 2025-12-14 | 天津   |    94 |    69.8 |  123.5 |  14.7 |  46.5 | 1.06 |  81   | 良      |   12 | 12月    |
|  348 | 2025-12-15 | 天津   |   108 |    81.5 |   68.1 |  20.4 |  36.2 | 1.05 |  65.6 | 轻度污染   |   12 | 12月    |
|  349 | 2025-12-16 | 天津   |    84 |    59.4 |  118.3 |  17.2 |  41   | 0.72 |  49.1 | 良      |   12 | 12月    |
|  350 | 2025-12-17 | 天津   |   104 |    49.5 |  158.1 |  18   |  49.4 | 0.99 |  65.2 | 轻度污染   |   12 | 12月    |
|  351 | 2025-12-18 | 天津   |    95 |    68.7 |  139.3 |  14   |  43.1 | 0.68 |  54.2 | 良      |   12 | 12月    |
|  352 | 2025-12-19 | 天津   |    86 |    55.7 |  121   |  16.5 |  50.4 | 1    |  66.8 | 良      |   12 | 12月    |
|  353 | 2025-12-20 | 天津   |    83 |    61.1 |   91.1 |  18   |  44.2 | 0.82 |  92.2 | 良      |   12 | 12月    |
|  354 | 2025-12-21 | 天津   |    86 |    61.5 |  121.6 |  21.7 |  56.5 | 1.3  |  77   | 良      |   12 | 12月    |
|  355 | 2025-12-22 | 天津   |    88 |    52.7 |  126.5 |  15.2 |  29.9 | 0.97 |  67.7 | 良      |   12 | 12月    |
|  356 | 2025-12-23 | 天津   |   134 |   102.5 |  147.7 |  15.9 |  39.1 | 1.11 |  77.8 | 轻度污染   |   12 | 12月    |
|  357 | 2025-12-24 | 天津   |    88 |    65.6 |  117.5 |  20.3 |  32.8 | 1.36 |  79.6 | 良      |   12 | 12月    |
|  358 | 2025-12-25 | 天津   |   154 |   117.6 |  186.2 |  14.8 |  33.1 | 0.77 |  46.2 | 中度污染   |   12 | 12月    |
|  359 | 2025-12-26 | 天津   |    72 |    44.9 |   93.4 |  20.8 |  33   | 1.02 |  66.9 | 良      |   12 | 12月    |
|  360 | 2025-12-27 | 天津   |    72 |    52.4 |   89.1 |  17.3 |  41   | 0.69 | 112.9 | 良      |   12 | 12月    |
|  361 | 2025-12-28 | 天津   |    98 |    73.8 |  123.8 |  18.1 |  41.2 | 1    |  89.2 | 良      |   12 | 12月    |
|  362 | 2025-12-29 | 天津   |    84 |    55.5 |  118.8 |  18.3 |  42.5 | 1.28 |  58.8 | 良      |   12 | 12月    |
|  363 | 2025-12-30 | 天津   |    90 |    64.1 |  130   |  15.2 |  31.4 | 0.79 |  57.6 | 良      |   12 | 12月    |
|  364 | 2025-12-31 | 天津   |    95 |    70.8 |  120.5 |  18.2 |  36.8 | 0.74 |  57.6 | 良      |   12 | 12月    |
|  365 | 2025-01-01 | 宁夏   |    83 |    61.2 |   98.8 |  23.6 |  21.3 | 1.21 |  67.1 | 良      |    1 | 1月     |
|  366 | 2025-01-02 | 宁夏   |    82 |    48   |  113.7 |  16.5 |  32.1 | 0.81 |  62.6 | 良      |    1 | 1月     |
|  367 | 2025-01-03 | 宁夏   |    86 |    60.9 |  121   |  22   |  37.8 | 0.66 |  62.2 | 良      |    1 | 1月     |
|  368 | 2025-01-04 | 宁夏   |    80 |    59   |  104.9 |  20.4 |  28.8 | 0.75 |  56.8 | 良      |    1 | 1月     |
|  369 | 2025-01-05 | 宁夏   |    97 |    72.8 |  125.7 |  16.9 |  24.3 | 0.97 |  54.5 | 良      |    1 | 1月     |
|  370 | 2025-01-06 | 宁夏   |    93 |    47.1 |  135.5 |  17.1 |  25.2 | 0.68 | 107.7 | 良      |    1 | 1月     |
|  371 | 2025-01-07 | 宁夏   |   108 |    81.8 |  100.1 |  17.9 |  34.5 | 0.81 |  77.4 | 轻度污染   |    1 | 1月     |
|  372 | 2025-01-08 | 宁夏   |    79 |    45.9 |  107.1 |  19.9 |  42.1 | 0.9  |  73   | 良      |    1 | 1月     |
|  373 | 2025-01-09 | 宁夏   |   108 |    81.5 |  141.2 |  18.6 |  35.6 | 0.68 |  67.5 | 轻度污染   |    1 | 1月     |
|  374 | 2025-01-10 | 宁夏   |    81 |    52.3 |  112.4 |  15.9 |  39.1 | 0.45 |  84.7 | 良      |    1 | 1月     |
|  375 | 2025-01-11 | 宁夏   |   123 |    93.2 |  112.2 |  11   |  22.5 | 0.58 |  99.3 | 轻度污染   |    1 | 1月     |
|  376 | 2025-01-12 | 宁夏   |    86 |    64.1 |  106.1 |  19.2 |  29.1 | 0.62 |  91.2 | 良      |    1 | 1月     |
|  377 | 2025-01-13 | 宁夏   |    82 |    60.6 |  107.3 |  11.3 |  36.5 | 0.74 |  95.4 | 良      |    1 | 1月     |
|  378 | 2025-01-14 | 宁夏   |   130 |    99.3 |  179.5 |  13   |  19.4 | 0.79 |  68.8 | 轻度污染   |    1 | 1月     |
|  379 | 2025-01-15 | 宁夏   |    65 |    46.9 |   46.3 |  15.8 |  24.4 | 0.94 |  79.9 | 良      |    1 | 1月     |
|  380 | 2025-01-16 | 宁夏   |    78 |    57.2 |   93.8 |  13.3 |  35.4 | 0.53 |  70.3 | 良      |    1 | 1月     |
